# ADC noise capture
# date: 2026-08-10 18:45:39
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.059, effective_rate_sps: 943.0, mean_interval_us: 1060.5
# note: A0 trimmer at 511/512 boundary, run 1
sample_index,t_us,raw
538,1017472,512
539,1018576,512
540,1019680,512
541,1020784,512
542,1021892,512
543,1022996,512
544,1024100,512
545,1025204,512
546,1026312,512
547,1027416,512
548,1028520,512
549,1029624,511
550,1030732,512
551,1031836,512
552,1032940,512
553,1034044,512
554,1035152,512
555,1036256,511
556,1037360,512
557,1038464,512
558,1039572,512
559,1040676,512
560,1041780,512
561,1042884,512
562,1043992,512
563,1045096,512
564,1046200,512
565,1047304,512
566,1048412,512
567,1049516,512
568,1050620,512
569,1051724,512
570,1052832,512
571,1053936,512
572,1055040,512
573,1056144,512
574,1057252,512
575,1058356,511
576,1059460,512
577,1060564,512
578,1061672,512
579,1062776,512
580,1063880,512
581,1064984,512
582,1066092,512
583,1067196,512
584,1068300,512
585,1069404,512
586,1070512,512
587,1071616,512
588,1072720,512
589,1073824,512
590,1074932,512
591,1076036,512
592,1077140,512
593,1078244,512
594,1079352,512
595,1080456,512
596,1081560,512
597,1082664,512
598,1083772,512
599,1084876,512
600,1085980,512
601,1087084,512
602,1088192,512
603,1089296,512
604,1090400,512
605,1091504,512
606,1092616,512
607,1093716,512
608,1094820,512
609,1095924,511
610,1097032,511
611,1098136,512
612,1099240,511
613,1100344,512
614,1101452,511
615,1102556,512
616,1103660,512
617,1104764,511
618,1105872,512
619,1106976,512
620,1108080,512
621,1109184,512
622,1110292,511
623,1111396,512
624,1112500,512
625,1113604,512
626,1114712,511
627,1115816,512
628,1116920,512
629,1118024,512
630,1119132,511
631,1120236,511
632,1121340,512
633,1122444,512
634,1123552,512
635,1124656,512
636,1125760,512
637,1126864,512
638,1127972,512
639,1129076,511
640,1130180,512
641,1131284,512
642,1132392,512
643,1133496,511
644,1134608,511
645,1135704,512
646,1136812,512
647,1137916,511
648,1139020,512
649,1140124,512
650,1141232,511
651,1142336,512
652,1143440,512
653,1144544,512
654,1145652,512
655,1146756,512
656,1147860,512
657,1148964,512
658,1150072,512
659,1151176,512
660,1152280,512
661,1153384,512
662,1154492,512
663,1155596,512
664,1156700,512
665,1157804,512
666,1158912,512
667,1160016,512
668,1161120,512
669,1162224,511
670,1163332,512
671,1164436,512
672,1165540,512
673,1166644,512
674,1167752,512
675,1168856,511
676,1169960,512
677,1171064,512
678,1172172,512
679,1173276,512
680,1174380,511
681,1175484,512
682,1176596,512
683,1177696,512
684,1178800,512
685,1179904,512
686,1181012,512
687,1182116,512
688,1183220,511
689,1184324,512
690,1185432,512
691,1186536,512
692,1187640,512
693,1188744,512
694,1189852,511
695,1190956,511
696,1192060,512
697,1193164,512
698,1194272,512
699,1195376,512
700,1196480,512
701,1197584,512
702,1198692,512
703,1199796,512
704,1200900,512
705,1202004,511
706,1203112,511
707,1204216,512
708,1205320,512
709,1206424,512
710,1207532,512
711,1208636,512
712,1209740,512
713,1210844,512
714,1211952,512
715,1213056,512
716,1214160,512
717,1215264,512
718,1216372,512
719,1217476,511
720,1218580,512
721,1219684,512
722,1220792,512
723,1221896,512
724,1223000,512
725,1224104,512
726,1225212,512
727,1226316,511
728,1227420,512
729,1228524,512
730,1229632,512
731,1230736,512
732,1231840,511
733,1232944,512
734,1234052,512
735,1235156,512
736,1236260,511
737,1237364,511
738,1238472,512
739,1239576,512
740,1240680,512
741,1241784,512
742,1242892,512
743,1243996,512
744,1245100,512
