# ADC noise capture
# date: 2026-08-10 20:40:38
# port: COM3, baud: 115200
# source: A0 trimmer potentiometer on the 511/512 code boundary
# requested samples: 1000, received: 1000, bad lines: 0
# duration_s: 1.274, effective_rate_sps: 784.3, mean_interval_us: 1275.0
# note: example capture, padded 15-char format, same operating point as the main run
sample_index,t_us,raw
625,1266040,512
626,1267316,511
627,1268592,512
628,1269864,512
629,1271140,512
630,1272416,511
631,1273692,512
632,1274964,512
633,1276240,512
634,1277516,512
635,1278792,512
636,1280064,512
637,1281340,512
638,1282616,512
639,1283892,512
640,1285164,512
641,1286440,512
642,1287716,512
643,1288992,512
644,1290264,512
645,1291540,512
646,1292816,512
647,1294092,512
648,1295372,512
649,1296640,512
650,1297916,512
651,1299192,512
652,1300464,512
653,1301740,512
654,1303016,512
655,1304292,512
656,1305564,512
657,1306840,512
658,1308116,512
659,1309392,512
660,1310664,512
661,1311940,512
662,1313216,512
663,1314492,512
664,1315764,512
665,1317040,512
666,1318316,512
667,1319592,512
668,1320864,512
669,1322140,512
670,1323416,512
671,1324692,512
672,1325964,512
673,1327240,512
674,1328516,512
675,1329792,512
676,1331064,512
677,1332340,512
678,1333616,512
679,1334892,512
680,1336164,512
681,1337440,512
682,1338716,512
683,1339992,512
684,1341264,512
685,1342540,512
686,1343816,512
687,1345092,512
688,1346364,512
689,1347640,512
690,1348916,512
691,1350192,512
692,1351464,512
693,1352740,512
694,1354016,512
695,1355292,512
696,1356564,512
697,1357844,512
698,1359116,512
699,1360392,512
700,1361664,512
701,1362940,512
702,1364216,512
703,1365492,512
704,1366764,512
705,1368040,512
706,1369316,511
707,1370592,512
708,1371864,512
709,1373140,512
710,1374416,512
711,1375692,512
712,1376964,512
713,1378240,512
714,1379516,512
715,1380792,512
716,1382064,512
717,1383340,512
718,1384616,512
719,1385892,512
720,1387164,512
721,1388440,512
722,1389716,512
723,1390992,512
724,1392264,512
725,1393540,512
726,1394816,512
727,1396092,512
728,1397364,512
729,1398640,512
730,1399916,512
731,1401192,512
732,1402464,512
733,1403740,512
734,1405016,512
735,1406292,512
736,1407564,512
737,1408840,512
738,1410116,512
739,1411392,512
740,1412664,512
741,1413940,512
742,1415216,512
743,1416492,512
744,1417764,512
745,1419040,512
746,1420316,512
747,1421592,512
748,1422864,512
749,1424140,512
750,1425420,512
751,1426692,512
752,1427964,512
753,1429240,512
754,1430516,511
755,1431792,512
756,1433064,512
757,1434340,512
758,1435616,512
759,1436892,512
760,1438164,512
761,1439440,512
762,1440716,512
763,1441992,512
764,1443264,512
765,1444540,512
766,1445816,512
767,1447092,512
768,1448364,512
769,1449640,512
770,1450916,512
771,1452192,512
772,1453464,512
773,1454740,512
774,1456016,512
775,1457292,512
776,1458564,512
777,1459840,512
778,1461116,511
779,1462392,512
780,1463664,512
781,1464940,512
782,1466216,512
783,1467492,512
784,1468764,512
785,1470040,512
786,1471316,512
787,1472592,512
788,1473864,512
789,1475140,512
790,1476416,512
791,1477692,512
792,1478964,512
793,1480240,512
794,1481516,512
795,1482792,511
796,1484064,512
797,1485340,512
798,1486616,512
799,1487892,511
800,1489164,512
801,1490440,512
802,1491716,512
803,1492992,512
804,1494264,512
805,1495540,512
806,1496816,512
807,1498092,512
808,1499364,512
809,1500640,512
810,1501916,511
811,1503192,512
812,1504464,512
813,1505740,512
814,1507016,512
815,1508292,512
816,1509564,512
817,1510840,512
818,1512116,512
819,1513392,512
820,1514664,512
821,1515940,512
822,1517216,512
823,1518492,512
824,1519764,512
825,1521040,512
826,1522316,512
827,1523592,512
828,1524864,512
829,1526140,512
830,1527416,512
831,1528692,512
832,1529964,512
833,1531240,512
834,1532516,512
835,1533792,512
836,1535064,512
837,1536340,512
838,1537616,512
839,1538892,512
840,1540164,512
841,1541440,512
842,1542716,512
843,1543992,512
844,1545264,512
845,1546540,512
846,1547816,512
847,1549092,512
848,1550364,512
849,1551640,512
850,1552916,512
851,1554192,512
852,1555472,512
853,1556740,512
854,1558016,512
855,1559292,512
856,1560564,512
857,1561840,512
858,1563116,512
859,1564392,512
860,1565664,512
861,1566940,512
862,1568216,512
863,1569492,512
864,1570764,512
865,1572040,512
866,1573316,512
867,1574592,512
868,1575864,512
869,1577140,512
870,1578416,512
871,1579692,512
872,1580964,512
873,1582240,512
874,1583516,512
875,1584792,512
876,1586064,512
877,1587340,512
878,1588616,512
879,1589892,512
880,1591164,512
881,1592440,512
882,1593716,511
883,1594992,511
884,1596264,512
885,1597540,512
886,1598816,512
887,1600092,512
888,1601364,512
889,1602640,512
890,1603916,512
891,1605192,512
892,1606464,512
893,1607740,512
894,1609016,512
895,1610292,512
896,1611564,511
897,1612840,512
898,1614116,512
899,1615392,512
900,1616664,512
901,1617940,512
902,1619216,512
903,1620492,512
904,1621764,512
905,1623048,512
906,1624316,512
907,1625592,511
908,1626864,512
909,1628140,512
910,1629416,512
911,1630692,512
912,1631964,512
913,1633240,512
914,1634516,512
915,1635792,512
916,1637064,512
917,1638340,512
918,1639616,512
919,1640892,512
920,1642164,512
921,1643440,512
922,1644716,512
923,1645992,512
924,1647264,512
925,1648540,512
926,1649816,512
927,1651092,512
928,1652364,512
929,1653640,512
930,1654916,512
931,1656192,511
932,1657464,512
933,1658740,512
934,1660016,512
935,1661292,512
936,1662564,512
937,1663840,512
938,1665116,512
939,1666392,512
940,1667664,512
941,1668940,512
942,1670216,512
943,1671492,512
944,1672764,512
945,1674040,512
946,1675316,512
947,1676592,512
948,1677864,512
949,1679140,512
950,1680416,512
951,1681692,512
952,1682964,512
953,1684240,512
